Compound,Assay,PoD,Activity,Business line,MoA,Code,Description,All_Inactive
SYN545504,UL54_OXstress_HMOX1_24h_48h_72h_EP_2,-3.733157051,active,Weed control,ACC,CSCD573160,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN545504,UL54_OXstress_HMOX1_24h_48h_72h_EP_3,-3.770292567,active,Weed control,ACC,CSCD573160,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN545504,UL55_OXstress_NRF2_3h_6h_24h_EP_1,,inactive,Weed control,ACC,CSCD573160,NRF2-GFP protein expression in the nucleus; PoD at timepoint 3h,False
SYN545504,UL55_OXstress_NRF2_3h_6h_24h_EP_2,-3.626407645,active,Weed control,ACC,CSCD573160,NRF2-GFP protein expression in the nucleus; PoD at timepoint 6h,False
SYN545504,UL55_OXstress_NRF2_3h_6h_24h_EP_3,-3.865249314,active,Weed control,ACC,CSCD573160,NRF2-GFP protein expression in the nucleus; PoD at timepoint 24h,False
SYN545504,UL56_OXstress_Keap1_16h_48h_72h_EP_1,-3.719148574,active,Weed control,ACC,CSCD573160,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 16h,False
SYN545504,UL56_OXstress_Keap1_16h_48h_72h_EP_2,-3.938660633,active,Weed control,ACC,CSCD573160,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 48h,False
SYN545504,UL56_OXstress_Keap1_16h_48h_72h_EP_3,-4.739690054,active,Weed control,ACC,CSCD573160,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 72h,False
SYN545504,UL57_DNAdamage_Btg2_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 24h,True
SYN545504,UL57_DNAdamage_Btg2_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCD573160,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN545504,UL57_DNAdamage_Btg2_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCD573160,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN545504,UL58_DNAdamage_p21_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,p21-GFP protein expression in the nucleus; PoD at timepoint 24h,True
SYN545504,UL58_DNAdamage_p21_24h_48h_72h_EP_2,-3.770292567,active,Weed control,ACC,CSCD573160,p21-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN545504,UL58_DNAdamage_p21_24h_48h_72h_EP_3,-3.740334461,active,Weed control,ACC,CSCD573160,p21-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN545504,UL59_DNAdamage_p53_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,p53-GFP protein expression in the nucleus; PoD at timepoint 16h,True
SYN545504,UL59_DNAdamage_p53_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCD573160,p53-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN545504,UL59_DNAdamage_p53_16h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCD573160,p53-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN545504,UL60_DNAdamage_53bp1_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,53bp1 foci count in the nucleus per cell; PoD at timepoint 24h,True
SYN545504,UL60_DNAdamage_53bp1_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCD573160,53bp1 foci count in the nucleus per cell; PoD at timepoint 48h,False
SYN545504,UL61_ERstress_CHOP_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,CHOP-GFP protein expression in the nucleus; PoD at timepoint 16h,False
SYN545504,UL61_ERstress_CHOP_16h_48h_72h_EP_2,-3.762607085,active,Weed control,ACC,CSCD573160,CHOP-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN545504,UL61_ERstress_CHOP_16h_48h_72h_EP_3,-3.778116508,active,Weed control,ACC,CSCD573160,CHOP-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN545504,UL62_ERstress_BiP_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN545504,UL62_ERstress_BiP_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCD573160,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 48h,True
SYN545504,UL62_ERstress_BiP_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCD573160,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 72h,True
SYN545504,UL63_INFstress_ICAM1_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN545504,UL63_INFstress_ICAM1_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCD573160,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN545504,UL63_INFstress_ICAM1_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCD573160,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN545504,UL64_Autophagy_LC3_3h_6h_24h_EP_3,,inactive,Weed control,ACC,CSCD573160,LC3 foci count in the cytoplasm per cell; PoD at timepoint 24h,False
SYN545504,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN545504,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCD573160,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN545504,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_3,-4.342179544,active,Weed control,ACC,CSCD573160,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN545504,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN545504,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCD573160,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN545504,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCD573160,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN545504,VU_resazurin_24h,-3.8239087409443187,active,Weed control,ACC,CSCD573160,cytotoxicity,False
SYN545504,VU_resazurin_72h,-4.301029995663981,active,Weed control,ACC,CSCD573160,cytotoxicity,False
SYN545504,VU_seahorse,-5.0,active,Weed control,ACC,CSCD573160,mitotoxicity,False
SYN547328,BDS10a_metab_PPARa_ago_24h,,inactive,Weed control,ACC,CSCR128823,peroxisome proliferator activated receptor agonism,False
SYN547328,BDS10b_metab_PPARa_anta_24h,,inactive,Weed control,ACC,CSCR128823,peroxisome proliferator activated receptor antagonism,False
SYN547328,BDS11a_metab_PPARg_ago_24h,,inactive,Weed control,ACC,CSCR128823,peroxisome proliferator activated receptor agonism,False
SYN547328,BDS11b_metab_PPARg_anta_24h,,inactive,Weed control,ACC,CSCR128823,peroxisome proliferator activated receptor antagonism,True
SYN547328,BDS12a_metab_PPARd_ago_24h,,inactive,Weed control,ACC,CSCR128823,peroxisome proliferator activated receptor agonism,False
SYN547328,BDS12b_metab_PPARd_anta_24h,-4.9,active,Weed control,ACC,CSCR128823,peroxisome proliferator activated receptor antagonism,False
SYN547328,BDS13a_xenob_AhR_ago_24h,,inactive,Weed control,ACC,CSCR128823,aryl hydrocarbon receptor agonism,False
SYN547328,BDS14a_hypox_Hif1a_act_24h,,inactive,Weed control,ACC,CSCR128823,Hif1a pathway activation,False
SYN547328,BDS15a_Wnt_TCF_act_24h,,inactive,Weed control,ACC,CSCR128823,Wnt pathway activation,True
SYN547328,BDS15b_Wnt_TCF_inhib_24h,,inactive,Weed control,ACC,CSCR128823,Wnt pathway inhibition,True
SYN547328,BDS16a_regul_AP1_act_24h,,inactive,Weed control,ACC,CSCR128823,AP1 pathway activation,True
SYN547328,BDS17a_stres_ESRE_act_24h,-3.6,active,Weed control,ACC,CSCR128823,ESRE pathway activation,False
SYN547328,BDS1a_EDC_ERa_ago_24h,,inactive,Weed control,ACC,CSCR128823,estrogen receptor agonism,False
SYN547328,BDS1b_EDC_ERa_anta_24h,,inactive,Weed control,ACC,CSCR128823,estrogen receptor antagonism,True
SYN547328,BDS20a_geno_p21_act_24h,,inactive,Weed control,ACC,CSCR128823,p21 pathway activation,False
SYN547328,BDS21a_geno_p53_act_24h,-3.0,active,Weed control,ACC,CSCR128823,p53 pathway activation,False
SYN547328,BDS22a_tox_cytotox_act_24h,-3.9,active,Weed control,ACC,CSCR128823,cytotoxicity,False
SYN547328,BDS2a_EDC_AR_ago_24h,,inactive,Weed control,ACC,CSCR128823,androgen receptor agonism,True
SYN547328,BDS2b_EDC_AR_anta_24h,,inactive,Weed control,ACC,CSCR128823,androgen receptor antagonism,False
SYN547328,BDS3a_EDC_PR_ago_24h,,inactive,Weed control,ACC,CSCR128823,progesterone receptor agonism,True
SYN547328,BDS3b_EDC_PR_anta_24h,,inactive,Weed control,ACC,CSCR128823,progesterone receptor antagonism,False
SYN547328,BDS4a_EDC_GR_ago_24h,,inactive,Weed control,ACC,CSCR128823,glucocorticoid receptor agonism,True
SYN547328,BDS4b_EDC_GR_anta_24h,,inactive,Weed control,ACC,CSCR128823,glucocorticoid receptor antagonism,True
SYN547328,BDS5a_EDC_TRb_ago_24h,,inactive,Weed control,ACC,CSCR128823,thyroid hormone receptor agonism,True
SYN547328,BDS5b_EDC_TRb_anta_24h,,inactive,Weed control,ACC,CSCR128823,thyroid hormone receptor antagonism,True
SYN547328,BDS7a_repro_RAR_ago_24h,,inactive,Weed control,ACC,CSCR128823,retinoic acid receptor agonism,True
SYN547328,BDS7b_repro_RAR_anta_24h,,inactive,Weed control,ACC,CSCR128823,retinoic acid receptor antagonism,True
SYN547328,BDS8a_metab_LXR_ago_24h,,inactive,Weed control,ACC,CSCR128823,liver X receptor agonism,True
SYN547328,BDS8b_metab_LXR_anta_24h,,inactive,Weed control,ACC,CSCR128823,liver X receptor antagonism,True
SYN547328,BDS9a_xenob_PXR_ago_24h,-5.1,active,Weed control,ACC,CSCR128823,pregnane X receptor agonism,False
SYN547328,BDS9b_xenob_PXR_anta_24h,,inactive,Weed control,ACC,CSCR128823,pregnane X receptor antagonism,True
SYN547328,UKN2_migration,,inactive,Weed control,ACC,CSCR128823,number of migrated cells,False
SYN547328,UKN4a_DART_LUH_neurite_24h,,inactive,Weed control,ACC,CSCR128823,neurite area,False
SYN547328,UL53_OXstress_SRXN1_24h_48h_72h_EP_1,-4.915423722,active,Weed control,ACC,CSCR128823,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547328,UL53_OXstress_SRXN1_24h_48h_72h_EP_2,-4.915423722,active,Weed control,ACC,CSCR128823,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547328,UL53_OXstress_SRXN1_24h_48h_72h_EP_3,-4.915423722,active,Weed control,ACC,CSCR128823,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547328,UL54_OXstress_HMOX1_24h_48h_72h_EP_1,-3.667238464,active,Weed control,ACC,CSCR128823,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547328,UL54_OXstress_HMOX1_24h_48h_72h_EP_2,-3.726096334,active,Weed control,ACC,CSCR128823,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547328,UL54_OXstress_HMOX1_24h_48h_72h_EP_3,-3.726096334,active,Weed control,ACC,CSCR128823,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547328,UL55_OXstress_NRF2_3h_6h_24h_EP_1,-3.604691084,active,Weed control,ACC,CSCR128823,NRF2-GFP protein expression in the nucleus; PoD at timepoint 3h,False
SYN547328,UL55_OXstress_NRF2_3h_6h_24h_EP_2,-3.726096334,active,Weed control,ACC,CSCR128823,NRF2-GFP protein expression in the nucleus; PoD at timepoint 6h,False
SYN547328,UL55_OXstress_NRF2_3h_6h_24h_EP_3,-3.762607085,active,Weed control,ACC,CSCR128823,NRF2-GFP protein expression in the nucleus; PoD at timepoint 24h,False
SYN547328,UL56_OXstress_Keap1_16h_48h_72h_EP_1,-3.846368035,active,Weed control,ACC,CSCR128823,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 16h,False
SYN547328,UL56_OXstress_Keap1_16h_48h_72h_EP_2,-4.51812759,active,Weed control,ACC,CSCR128823,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 48h,False
SYN547328,UL56_OXstress_Keap1_16h_48h_72h_EP_3,-4.672845488,active,Weed control,ACC,CSCR128823,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 72h,False
SYN547328,UL57_DNAdamage_Btg2_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCR128823,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 24h,True
SYN547328,UL57_DNAdamage_Btg2_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCR128823,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547328,UL57_DNAdamage_Btg2_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCR128823,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547328,UL58_DNAdamage_p21_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCR128823,p21-GFP protein expression in the nucleus; PoD at timepoint 24h,True
SYN547328,UL58_DNAdamage_p21_24h_48h_72h_EP_2,-3.770292567,active,Weed control,ACC,CSCR128823,p21-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547328,UL58_DNAdamage_p21_24h_48h_72h_EP_3,-3.685985229,active,Weed control,ACC,CSCR128823,p21-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547328,UL59_DNAdamage_p53_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCR128823,p53-GFP protein expression in the nucleus; PoD at timepoint 16h,True
SYN547328,UL59_DNAdamage_p53_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCR128823,p53-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547328,UL59_DNAdamage_p53_16h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCR128823,p53-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547328,UL60_DNAdamage_53bp1_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCR128823,53bp1 foci count in the nucleus per cell; PoD at timepoint 24h,True
SYN547328,UL60_DNAdamage_53bp1_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCR128823,53bp1 foci count in the nucleus per cell; PoD at timepoint 48h,False
SYN547328,UL61_ERstress_CHOP_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCR128823,CHOP-GFP protein expression in the nucleus; PoD at timepoint 16h,False
SYN547328,UL61_ERstress_CHOP_16h_48h_72h_EP_2,-3.673397908,active,Weed control,ACC,CSCR128823,CHOP-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547328,UL61_ERstress_CHOP_16h_48h_72h_EP_3,-3.712310216,active,Weed control,ACC,CSCR128823,CHOP-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547328,UL62_ERstress_BiP_24h_48h_72h_EP_1,-3.655175612,active,Weed control,ACC,CSCR128823,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547328,UL62_ERstress_BiP_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCR128823,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 48h,True
SYN547328,UL62_ERstress_BiP_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCR128823,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 72h,True
SYN547328,UL63_INFstress_ICAM1_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCR128823,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547328,UL63_INFstress_ICAM1_24h_48h_72h_EP_2,-4.563837353,active,Weed control,ACC,CSCR128823,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547328,UL63_INFstress_ICAM1_24h_48h_72h_EP_3,-4.818728228,active,Weed control,ACC,CSCR128823,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547328,UL64_Autophagy_LC3_3h_6h_24h_EP_3,,inactive,Weed control,ACC,CSCR128823,LC3 foci count in the cytoplasm per cell; PoD at timepoint 24h,False
SYN547328,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCR128823,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547328,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCR128823,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547328,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCR128823,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547328,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_1,-3.819501377,active,Weed control,ACC,CSCR128823,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547328,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_2,-4.342179544,active,Weed control,ACC,CSCR128823,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547328,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_3,-3.726096334,active,Weed control,ACC,CSCR128823,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547328,VU_resazurin_24h,,inactive,Weed control,ACC,CSCR128823,cytotoxicity,False
SYN547328,VU_resazurin_72h,,inactive,Weed control,ACC,CSCR128823,cytotoxicity,False
SYN547328,VU_seahorse,-3.8239087409443187,active,Weed control,ACC,CSCR128823,mitotoxicity,False
SYN547341,BDS10a_metab_PPARa_ago_24h,,inactive,Weed control,ACC,CSCS232365,peroxisome proliferator activated receptor agonism,False
SYN547341,BDS10b_metab_PPARa_anta_24h,-4.5,active,Weed control,ACC,CSCS232365,peroxisome proliferator activated receptor antagonism,False
SYN547341,BDS11a_metab_PPARg_ago_24h,,inactive,Weed control,ACC,CSCS232365,peroxisome proliferator activated receptor agonism,False
SYN547341,BDS11b_metab_PPARg_anta_24h,,inactive,Weed control,ACC,CSCS232365,peroxisome proliferator activated receptor antagonism,True
SYN547341,BDS12a_metab_PPARd_ago_24h,,inactive,Weed control,ACC,CSCS232365,peroxisome proliferator activated receptor agonism,False
SYN547341,BDS12b_metab_PPARd_anta_24h,,inactive,Weed control,ACC,CSCS232365,peroxisome proliferator activated receptor antagonism,False
SYN547341,BDS13a_xenob_AhR_ago_24h,,inactive,Weed control,ACC,CSCS232365,aryl hydrocarbon receptor agonism,False
SYN547341,BDS14a_hypox_Hif1a_act_24h,,inactive,Weed control,ACC,CSCS232365,Hif1a pathway activation,False
SYN547341,BDS15a_Wnt_TCF_act_24h,,inactive,Weed control,ACC,CSCS232365,Wnt pathway activation,True
SYN547341,BDS15b_Wnt_TCF_inhib_24h,,inactive,Weed control,ACC,CSCS232365,Wnt pathway inhibition,True
SYN547341,BDS16a_regul_AP1_act_24h,,inactive,Weed control,ACC,CSCS232365,AP1 pathway activation,True
SYN547341,BDS17a_stres_ESRE_act_24h,,inactive,Weed control,ACC,CSCS232365,ESRE pathway activation,False
SYN547341,BDS1a_EDC_ERa_ago_24h,,inactive,Weed control,ACC,CSCS232365,estrogen receptor agonism,False
SYN547341,BDS1b_EDC_ERa_anta_24h,,inactive,Weed control,ACC,CSCS232365,estrogen receptor antagonism,True
SYN547341,BDS20a_geno_p21_act_24h,,inactive,Weed control,ACC,CSCS232365,p21 pathway activation,False
SYN547341,BDS21a_geno_p53_act_24h,,inactive,Weed control,ACC,CSCS232365,p53 pathway activation,False
SYN547341,BDS22a_tox_cytotox_act_24h,-3.8,active,Weed control,ACC,CSCS232365,cytotoxicity,False
SYN547341,BDS2a_EDC_AR_ago_24h,,inactive,Weed control,ACC,CSCS232365,androgen receptor agonism,True
SYN547341,BDS2b_EDC_AR_anta_24h,,inactive,Weed control,ACC,CSCS232365,androgen receptor antagonism,False
SYN547341,BDS3a_EDC_PR_ago_24h,,inactive,Weed control,ACC,CSCS232365,progesterone receptor agonism,True
SYN547341,BDS3b_EDC_PR_anta_24h,,inactive,Weed control,ACC,CSCS232365,progesterone receptor antagonism,False
SYN547341,BDS4a_EDC_GR_ago_24h,,inactive,Weed control,ACC,CSCS232365,glucocorticoid receptor agonism,True
SYN547341,BDS4b_EDC_GR_anta_24h,,inactive,Weed control,ACC,CSCS232365,glucocorticoid receptor antagonism,True
SYN547341,BDS5a_EDC_TRb_ago_24h,,inactive,Weed control,ACC,CSCS232365,thyroid hormone receptor agonism,True
SYN547341,BDS5b_EDC_TRb_anta_24h,,inactive,Weed control,ACC,CSCS232365,thyroid hormone receptor antagonism,True
SYN547341,BDS7a_repro_RAR_ago_24h,,inactive,Weed control,ACC,CSCS232365,retinoic acid receptor agonism,True
SYN547341,BDS7b_repro_RAR_anta_24h,,inactive,Weed control,ACC,CSCS232365,retinoic acid receptor antagonism,True
SYN547341,BDS8a_metab_LXR_ago_24h,,inactive,Weed control,ACC,CSCS232365,liver X receptor agonism,True
SYN547341,BDS8b_metab_LXR_anta_24h,,inactive,Weed control,ACC,CSCS232365,liver X receptor antagonism,True
SYN547341,BDS9a_xenob_PXR_ago_24h,,inactive,Weed control,ACC,CSCS232365,pregnane X receptor agonism,False
SYN547341,BDS9b_xenob_PXR_anta_24h,,inactive,Weed control,ACC,CSCS232365,pregnane X receptor antagonism,True
SYN547341,UKN2_migration,,inactive,Weed control,ACC,CSCS232365,number of migrated cells,False
SYN547341,UKN4a_DART_LUH_neurite_24h,,inactive,Weed control,ACC,CSCS232365,neurite area,False
SYN547341,UL53_OXstress_SRXN1_24h_48h_72h_EP_1,-3.810902891,active,Weed control,ACC,CSCS232365,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547341,UL53_OXstress_SRXN1_24h_48h_72h_EP_2,-3.802471344,active,Weed control,ACC,CSCS232365,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547341,UL53_OXstress_SRXN1_24h_48h_72h_EP_3,-3.747632486,active,Weed control,ACC,CSCS232365,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547341,UL54_OXstress_HMOX1_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCS232365,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547341,UL54_OXstress_HMOX1_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCS232365,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547341,UL54_OXstress_HMOX1_24h_48h_72h_EP_3,-3.705577867,active,Weed control,ACC,CSCS232365,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547341,UL55_OXstress_NRF2_3h_6h_24h_EP_1,,inactive,Weed control,ACC,CSCS232365,NRF2-GFP protein expression in the nucleus; PoD at timepoint 3h,False
SYN547341,UL55_OXstress_NRF2_3h_6h_24h_EP_2,,inactive,Weed control,ACC,CSCS232365,NRF2-GFP protein expression in the nucleus; PoD at timepoint 6h,False
SYN547341,UL55_OXstress_NRF2_3h_6h_24h_EP_3,,inactive,Weed control,ACC,CSCS232365,NRF2-GFP protein expression in the nucleus; PoD at timepoint 24h,False
SYN547341,UL56_OXstress_Keap1_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCS232365,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 16h,False
SYN547341,UL56_OXstress_Keap1_16h_48h_72h_EP_2,-4.439017944,active,Weed control,ACC,CSCS232365,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 48h,False
SYN547341,UL56_OXstress_Keap1_16h_48h_72h_EP_3,-4.614930224,active,Weed control,ACC,CSCS232365,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 72h,False
SYN547341,UL57_DNAdamage_Btg2_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCS232365,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 24h,True
SYN547341,UL57_DNAdamage_Btg2_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCS232365,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547341,UL57_DNAdamage_Btg2_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCS232365,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547341,UL58_DNAdamage_p21_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCS232365,p21-GFP protein expression in the nucleus; PoD at timepoint 24h,True
SYN547341,UL58_DNAdamage_p21_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCS232365,p21-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547341,UL58_DNAdamage_p21_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCS232365,p21-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547341,UL59_DNAdamage_p53_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCS232365,p53-GFP protein expression in the nucleus; PoD at timepoint 16h,True
SYN547341,UL59_DNAdamage_p53_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCS232365,p53-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547341,UL59_DNAdamage_p53_16h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCS232365,p53-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547341,UL60_DNAdamage_53bp1_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCS232365,53bp1 foci count in the nucleus per cell; PoD at timepoint 24h,True
SYN547341,UL60_DNAdamage_53bp1_16h_48h_72h_EP_2,-3.726096334,active,Weed control,ACC,CSCS232365,53bp1 foci count in the nucleus per cell; PoD at timepoint 48h,False
SYN547341,UL61_ERstress_CHOP_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCS232365,CHOP-GFP protein expression in the nucleus; PoD at timepoint 16h,False
SYN547341,UL61_ERstress_CHOP_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCS232365,CHOP-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547341,UL61_ERstress_CHOP_16h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCS232365,CHOP-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547341,UL62_ERstress_BiP_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCS232365,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547341,UL62_ERstress_BiP_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCS232365,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 48h,True
SYN547341,UL62_ERstress_BiP_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCS232365,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 72h,True
SYN547341,UL63_INFstress_ICAM1_24h_48h_72h_EP_1,-3.762607085,active,Weed control,ACC,CSCS232365,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547341,UL63_INFstress_ICAM1_24h_48h_72h_EP_2,-4.239577517,active,Weed control,ACC,CSCS232365,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
